"cultivo","cve_ent","entidad","cve_mun","municipio","productores","escenario_marginacion","escenario_precio","latitud","longitud","im","gm","imn"
"Frijol","21","Puebla","001","Acajete",100,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",88,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","15","México","001","Acambay de Ruíz Castañeda",26,0.0,0.0,19.9562,-99.844,52.775,"Medio",0.826384
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",65,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","13","Hidalgo","001","Acatlán",348,0.0,0.0,20.1458,-98.4384,53.8667,"Medio",0.843478
"Frijol","13","Hidalgo","001","Acatlán",160,0.0,0.0,20.1458,-98.4384,53.8667,"Medio",0.843478
"Frijol","21","Puebla","001","Acajete",332,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",50,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","30","Veracruz de Ignacio de la Llave","001","Acajete",31,0.0,0.0,19.587,-97.0105,53.0622,"Medio",0.83088
"Frijol","21","Puebla","001","Acajete",168,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","27","Tabasco","001","Balancán",66,0.0,0.0,17.8004,-91.5338,53.9658,"Medio",0.84503
"Frijol","21","Puebla","001","Acajete",31,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",20,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",1095,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",174,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","27","Tabasco","001","Balancán",445,0.0,0.0,17.8004,-91.5338,53.9658,"Medio",0.84503
"Frijol","21","Puebla","001","Acajete",627,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",393,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
"Frijol","21","Puebla","001","Acajete",33,0.0,0.0,19.1049,-97.9527,54.187,"Medio",0.848494
